# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAP1	YHR047C	YHR047C	protein_coding	1	0	7	67	0	0	0	0	34	0	0	0	7	0	0	0	0	0	1	0	0	0	33
AAR2	YBL074C	YBL074C	protein_coding	0	0	3	42	0	0	0	0	28	0	0	0	3	0	0	0	0	0	0	0	0	0	14
AAT1	YKL106W	YKL106W	protein_coding	0	5	6	126	0	0	0	0	57	0	0	0	6	0	0	0	0	0	0	0	0	5	69
AAT2	YLR027C	YLR027C	protein_coding	0	5	6	64	0	0	0	0	23	0	0	0	6	0	0	0	0	0	0	0	0	5	41
ABD1	YBR236C	YBR236C	protein_coding	0	4	6	115	0	0	0	0	59	0	0	0	6	0	0	0	0	0	0	0	0	4	56
ABF1	YKL112W	YKL112W	protein_coding	0	14	15	91	0	0	0	0	43	0	0	0	15	0	0	0	0	0	0	0	0	14	48
ABF2	YMR072W	YMR072W	protein_coding	0	0	0	53	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	37
ABM1	YJR108W	YJR108W	protein_coding	1	3	3	93	0	0	0	0	44	0	0	0	3	0	0	0	1	0	0	1	0	3	49
ABP1	YCR088W	YCR088W	protein_coding	0	4	7	72	0	0	0	0	36	0	0	0	7	0	0	0	0	0	0	0	0	4	36
ABP140	YOR239W	YOR239W	protein_coding	1	0	7	47	0	0	0	0	26	0	0	0	7	0	0	0	0	0	1	0	0	0	21
ABZ1	YNR033W	YNR033W	protein_coding	0	8	11	60	0	0	0	0	45	0	0	0	11	0	0	0	0	0	0	0	0	8	15
ABZ2	YMR289W	YMR289W	protein_coding	0	4	5	75	0	0	0	0	30	0	0	0	5	0	0	0	0	0	0	0	0	4	45
ACA1	YER045C	YER045C	protein_coding	0	9	13	95	0	0	0	0	31	0	0	0	13	0	0	0	0	0	0	0	0	9	64
ACB1	YGR037C	YGR037C	protein_coding	0	0	3	52	0	0	0	0	36	0	0	0	3	0	0	0	0	0	0	0	0	0	16
ACC1	YNR016C	YNR016C	protein_coding	0	21	17	71	0	0	0	0	29	0	0	0	17	0	0	0	0	0	0	0	0	21	42
ACE2	YLR131C	YLR131C	protein_coding	0	6	10	51	0	0	0	0	26	0	0	0	10	0	0	0	0	0	0	0	0	6	25
ACF2	YLR144C	YLR144C	protein_coding	0	4	17	40	0	0	0	0	19	0	0	0	17	0	0	0	0	0	0	0	0	4	21
ACF4	YJR083C	YJR083C	protein_coding	0	5	7	110	0	0	0	0	46	0	0	0	7	0	0	0	0	0	0	0	0	5	64
ACH1	YBL015W	YBL015W	protein_coding	0	8	2	122	0	0	0	0	53	0	0	0	2	0	0	0	0	0	0	0	0	8	69
ACK1	YDL203C	YDL203C	protein_coding	1	20	9	94	0	0	0	0	35	0	0	0	9	0	0	0	0	0	1	0	0	20	59
ACM1	YPL267W	YPL267W	protein_coding	0	0	3	43	0	0	0	0	29	0	0	0	3	0	0	0	0	0	0	0	0	0	14
ACO1	YLR304C	YLR304C	protein_coding	2	16	1	74	0	0	0	0	37	1	0	0	1	0	0	0	0	0	1	0	0	16	37
ACO2	YJL200C	YJL200C	protein_coding	0	12	6	112	0	0	0	0	46	0	0	0	6	0	0	0	0	0	0	0	0	12	66
ACP1	YKL192C	YKL192C	protein_coding	0	2	2	98	0	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	0	2	68
ACS1	YAL054C	YAL054C	protein_coding	0	12	8	125	0	0	0	0	72	0	0	0	8	0	0	0	0	0	0	0	0	12	53
ACS2	YLR153C	YLR153C	protein_coding	0	5	5	54	0	0	0	0	39	0	0	0	5	0	0	0	0	0	0	0	0	5	15
ACT1	YFL039C	YFL039C	protein_coding	3	0	4	108	0	0	0	0	60	0	0	5	4	0	0	0	0	0	0	3	0	0	43
ADA2	YDR448W	YDR448W	protein_coding	0	1	4	50	0	0	0	0	26	0	0	0	4	0	0	0	0	0	0	0	0	1	24
ADD37	YMR184W	YMR184W	protein_coding	0	0	7	51	0	0	0	0	24	0	0	0	7	0	0	0	0	0	0	0	0	0	27
ADD66	YKL206C	YKL206C	protein_coding	0	0	5	94	0	0	0	0	67	0	0	0	5	0	0	0	0	0	0	0	0	0	27
ADE1	YAR015W	YAR015W	protein_coding	0	13	3	47	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	13	20
ADE12	YNL220W	YNL220W	protein_coding	0	7	5	49	0	0	0	0	18	0	0	0	5	0	0	0	0	0	0	0	0	7	31
ADE13	YLR359W	YLR359W	protein_coding	0	5	7	102	0	0	0	0	54	0	0	0	7	0	0	0	0	0	0	0	0	5	48
ADE16	YLR028C	YLR028C	protein_coding	0	6	12	50	0	0	0	0	37	0	0	0	12	0	0	0	0	0	0	0	0	6	13
ADE17	YMR120C	YMR120C	protein_coding	0	9	4	137	0	0	0	0	59	0	0	0	4	0	0	0	0	0	0	0	0	9	78
ADE2	YOR128C	YOR128C	protein_coding	0	7	8	93	0	0	0	0	45	0	0	0	8	0	0	0	0	0	0	0	0	7	48
ADE3	YGR204W	YGR204W	protein_coding	0	18	15	93	0	0	0	0	53	0	0	0	15	0	0	0	0	0	0	0	0	18	40
ADE4	YMR300C	YMR300C	protein_coding	0	5	9	93	0	0	0	0	51	0	0	0	9	0	0	0	0	0	0	0	0	5	42
ADE5,7	YGL234W	YGL234W	protein_coding	1	6	10	76	0	0	0	0	14	0	0	0	10	0	0	0	0	0	1	0	0	6	62
ADE6	YGR061C	YGR061C	protein_coding	0	8	11	63	0	0	0	0	25	0	0	0	11	0	0	0	0	0	0	0	0	8	38
ADE8	YDR408C	YDR408C	protein_coding	0	1	5	51	0	0	0	0	23	0	0	0	5	0	0	0	0	0	0	0	0	1	28
ADF1	YCL058W-A	YCL058W-A	protein_coding	0	0	0	34	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ADH1	YOL086C	YOL086C	protein_coding	0	6	3	124	0	0	0	0	55	0	0	0	3	0	0	0	0	0	0	0	0	6	69
ADH2	YMR303C	YMR303C	protein_coding	0	8	10	87	0	0	0	0	57	0	0	0	10	0	0	0	0	0	0	0	0	8	30
ADH3	YMR083W	YMR083W	protein_coding	1	1	5	83	0	0	0	0	56	0	0	0	5	0	0	0	0	0	1	0	0	1	27
ADH4	YGL256W	YGL256W	protein_coding	0	14	7	198	0	0	0	0	106	0	0	0	7	0	0	0	0	0	0	0	0	14	92
ADH5	YBR145W	YBR145W	protein_coding	1	7	5	136	0	0	0	0	70	0	0	0	5	0	0	0	0	0	1	0	0	7	66
ADH6	YMR318C	YMR318C	protein_coding	0	9	6	118	0	0	0	0	77	0	0	0	6	0	0	0	0	0	0	0	0	9	41
ADH7	YCR105W	YCR105W	protein_coding	1	10	25	252	0	0	0	0	149	0	0	0	25	0	0	0	0	0	1	0	0	10	103
ADI1	YMR009W	YMR009W	protein_coding	0	4	1	65	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	4	39
ADK1	YDR226W	YDR226W	protein_coding	0	2	0	33	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	2	15
ADK2	YER170W	YER170W	protein_coding	1	0	5	74	0	0	0	0	30	1	0	0	5	0	0	0	0	0	0	0	0	0	44
ADO1	YJR105W	YJR105W	protein_coding	1	4	4	108	0	0	0	0	61	0	0	0	4	0	0	0	0	0	1	0	0	4	47
ADP1	YCR011C	YCR011C	protein_coding	0	6	12	49	0	0	0	0	25	0	0	0	12	0	0	0	0	0	0	0	0	6	24
ADR1	YDR216W	YDR216W	protein_coding	0	3	10	30	0	0	0	0	11	0	0	0	10	0	0	0	0	0	0	0	0	3	19
ADY2	YCR010C	YCR010C	protein_coding	0	3	0	50	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	3	29
ADY3	YDL239C	YDL239C	protein_coding	0	1	4	50	0	0	0	0	21	0	0	0	4	0	0	0	0	0	0	0	0	1	29
ADY4	YLR227C	YLR227C	protein_coding	0	3	3	30	0	0	0	0	23	0	0	0	3	0	0	0	0	0	0	0	0	3	7
AEP1	YMR064W	YMR064W	protein_coding	0	11	14	81	0	0	0	0	31	0	0	0	14	0	0	0	0	0	0	0	0	11	50
AEP2	YMR282C	YMR282C	protein_coding	0	1	6	51	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0	0	0	1	27
AEP3	YPL005W	YPL005W	protein_coding	3	4	7	40	0	0	0	0	17	2	0	0	7	0	0	0	0	0	1	0	0	4	23
AFB1	YLR040C	YLR040C	protein_coding	0	1	6	51	0	0	0	0	17	0	0	0	6	0	0	0	0	0	0	0	0	1	34
AFG1	YEL052W	YEL052W	protein_coding	0	7	7	64	0	0	0	0	33	0	0	0	7	0	0	0	0	0	0	0	0	7	31
AFG2	YLR397C	YLR397C	protein_coding	1	19	15	83	0	0	0	0	34	0	0	0	15	0	0	0	1	0	0	1	0	19	49
AFG3	YER017C	YER017C	protein_coding	0	9	4	100	0	0	0	0	30	0	0	0	4	0	0	0	0	0	0	0	0	9	70
AFI1	YOR129C	YOR129C	protein_coding	0	6	13	112	0	0	0	0	54	0	0	0	13	0	0	0	0	0	0	0	0	6	58
AFR1	YDR085C	YDR085C	protein_coding	2	3	16	51	0	0	0	0	18	1	0	0	16	0	0	0	0	0	1	0	0	3	33
AFT1	YGL071W	YGL071W	protein_coding	0	4	13	76	0	0	0	0	40	0	0	0	13	0	0	0	0	0	0	0	0	4	36
AFT2	YPL202C	YPL202C	protein_coding	0	0	2	62	0	0	0	0	31	0	0	0	2	0	0	0	0	0	0	0	0	0	31
AGA1	YNR044W	YNR044W	protein_coding	0	9	27	77	0	0	0	0	37	0	0	0	27	0	0	0	0	0	0	0	0	9	40
AGA2	YGL032C	YGL032C	protein_coding	0	0	0	58	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	20
AGC1	YPR021C	YPR021C	protein_coding	0	4	5	55	0	0	0	0	28	0	0	0	5	0	0	0	0	0	0	0	0	4	27
AGE1	YDR524C	YDR524C	protein_coding	0	10	7	101	0	0	0	0	35	0	0	0	7	0	0	0	0	0	0	0	0	10	66
AGE2	YIL044C	YIL044C	protein_coding	0	4	3	111	0	0	0	0	61	0	0	0	3	0	0	0	0	0	0	0	0	4	50
AGP1	YCL025C	YCL025C	protein_coding	1	7	6	67	0	0	0	0	41	0	0	0	6	0	0	0	0	0	1	0	0	7	26
AGP2	YBR132C	YBR132C	protein_coding	0	11	8	91	0	0	0	0	44	0	0	0	8	0	0	0	0	0	0	0	0	11	47
AGP3	YFL055W	YFL055W	protein_coding	1	12	9	100	0	0	0	0	75	0	0	0	9	0	0	0	0	0	1	0	0	12	25
AGX1	YFL030W	YFL030W	protein_coding	0	13	7	108	0	0	0	0	53	0	0	0	7	0	0	0	0	0	0	0	0	13	55
AHA1	YDR214W	YDR214W	protein_coding	0	0	6	34	0	0	0	0	18	0	0	0	6	0	0	0	0	0	0	0	0	0	16
AHC1	YOR023C	YOR023C	protein_coding	0	8	9	121	0	0	0	0	48	0	0	0	9	0	0	0	0	0	0	0	0	8	73
AHC2	YCR082W	YCR082W	protein_coding	0	1	1	82	0	0	0	0	37	0	0	0	1	0	0	0	0	0	0	0	0	1	45
AHP1	YLR109W	YLR109W	protein_coding	0	2	2	56	0	0	0	0	36	0	0	0	2	0	0	0	0	0	0	0	0	2	20
AHT1	YHR093W	YHR093W	protein_coding	1	0	3	55	0	0	0	0	26	1	0	0	3	0	0	0	0	0	0	0	0	0	29
AIF1	YNR074C	YNR074C	protein_coding	0	4	9	113	0	0	0	0	75	0	0	0	9	0	0	0	0	0	0	0	0	4	38
AIM1	YAL046C	YAL046C	protein_coding	0	5	0	111	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	5	50
AIM10	YER087W	YER087W	protein_coding	0	5	8	82	0	0	0	0	52	0	0	0	8	0	0	0	0	0	0	0	0	5	30
AIM11	YER093C-A	YER093C-A	protein_coding	0	0	3	58	0	0	0	0	26	0	0	0	3	0	0	0	0	0	0	0	0	0	32
AIM14	YGL160W	YGL160W	protein_coding	0	3	4	94	0	0	0	0	41	0	0	0	4	0	0	0	0	0	0	0	0	3	53
AIM17	YHL021C	YHL021C	protein_coding	0	6	9	98	0	0	0	0	50	0	0	0	9	0	0	0	0	0	0	0	0	6	48
AIM18	YHR198C	YHR198C	protein_coding	0	1	0	37	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1	22
AIM19	YIL087C	YIL087C	protein_coding	1	1	2	117	0	0	0	0	65	0	0	0	2	0	0	0	1	0	0	1	0	1	52
AIM2	YAL049C	YAL049C	protein_coding	0	2	2	110	0	0	0	0	47	0	0	0	2	0	0	0	0	0	0	0	0	2	63
AIM20	YIL158W	YIL158W	protein_coding	0	2	8	80	0	0	0	0	36	0	0	0	8	0	0	0	0	0	0	0	0	2	44
AIM21	YIR003W	YIR003W	protein_coding	0	2	7	38	0	0	0	0	27	0	0	0	7	0	0	0	0	0	0	0	0	2	11
AIM22	YJL046W	YJL046W	protein_coding	0	4	3	94	0	0	0	0	46	0	0	0	3	0	0	0	0	0	0	0	0	4	48
AIM23	YJL131C	YJL131C	protein_coding	0	1	4	77	0	0	0	0	59	0	0	0	4	0	0	0	0	0	0	0	0	1	18
AIM24	YJR080C	YJR080C	protein_coding	0	8	1	104	0	0	0	0	37	0	0	0	1	0	0	0	0	0	0	0	0	8	67
AIM25	YJR100C	YJR100C	protein_coding	0	1	4	60	0	0	0	0	23	0	0	0	4	0	0	0	0	0	0	0	0	1	37
AIM26	YKL037W	YKL037W	protein_coding	0	1	2	61	0	0	0	0	36	0	0	0	2	0	0	0	0	0	0	0	0	1	25
AIM29	YKR074W	YKR074W	protein_coding	0	2	1	79	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	2	55
AIM3	YBR108W	YBR108W	protein_coding	1	20	20	108	0	0	0	0	48	0	0	0	20	0	0	0	0	0	1	0	0	20	60
AIM32	YML050W	YML050W	protein_coding	0	2	3	59	0	0	0	0	14	0	0	0	3	0	0	0	0	0	0	0	0	2	45
AIM33	YML087C	YML087C	protein_coding	0	5	4	103	0	0	0	0	46	0	0	0	4	0	0	0	0	0	0	0	0	5	57
AIM34	YMR003W	YMR003W	protein_coding	0	4	3	95	0	0	0	0	58	0	0	0	3	0	0	0	0	0	0	0	0	4	37
AIM36	YMR157C	YMR157C	protein_coding	0	2	1	90	0	0	0	0	48	0	0	0	1	0	0	0	0	0	0	0	0	2	42
AIM39	YOL053W	YOL053W	protein_coding	1	3	10	60	0	0	0	0	31	0	0	0	10	0	0	0	0	0	1	0	0	3	29
AIM4	YBR194W	YBR194W	protein_coding	0	3	1	109	0	0	0	0	60	0	0	0	1	0	0	0	0	0	0	0	0	3	49
AIM41	YOR215C	YOR215C	protein_coding	0	1	3	49	0	0	0	0	26	0	0	0	3	0	0	0	0	0	0	0	0	1	23
AIM44	YPL158C	YPL158C	protein_coding	0	2	14	51	0	0	0	0	18	0	0	0	14	0	0	0	0	0	0	0	0	2	33
AIM45	YPR004C	YPR004C	protein_coding	1	3	2	37	0	0	0	0	14	0	0	0	2	0	0	0	0	0	1	0	0	3	23
AIM46	YHR199C	YHR199C	protein_coding	0	3	0	38	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	29
AIM6	YDL237W	YDL237W	protein_coding	2	0	4	41	0	0	0	0	22	0	0	0	4	0	0	0	0	0	2	0	0	0	19
AIM7	YDR063W	YDR063W	protein_coding	0	3	1	92	0	0	0	0	60	0	0	0	1	0	0	0	0	0	0	0	0	3	32
AIM9	YER080W	YER080W	protein_coding	0	5	4	28	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	0	5	20
AIP1	YMR092C	YMR092C	protein_coding	0	12	4	105	0	0	0	0	74	0	0	0	4	0	0	0	0	0	0	0	0	12	31
AIR1	YIL079C	YIL079C	protein_coding	0	4	4	46	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	4	41
AIR2	YDL175C	YDL175C	protein_coding	0	4	3	90	0	0	0	0	39	0	0	0	3	0	0	0	0	0	0	0	0	4	51
AKL1	YBR059C	YBR059C	protein_coding	1	13	11	83	0	0	0	0	22	0	0	0	11	0	0	0	0	0	1	0	0	13	61
AKR1	YDR264C	YDR264C	protein_coding	0	3	5	48	0	0	0	0	10	0	0	0	5	0	0	0	0	0	0	0	0	3	38
AKR2	YOR034C	YOR034C	protein_coding	1	7	14	68	0	0	0	0	55	0	0	0	14	0	0	0	0	1	0	0	0	7	13
ALA1	YOR335C	YOR335C	protein_coding	1	5	7	43	0	0	0	0	28	0	0	0	7	0	0	0	0	0	1	0	0	5	15
ALB1	YJL122W	YJL122W	protein_coding	0	1	2	86	0	0	0	0	40	0	0	0	2	0	0	0	0	0	0	0	0	1	46
ALD2	YMR170C	YMR170C	protein_coding	1	2	2	64	0	0	0	0	35	0	0	0	2	0	0	0	0	0	1	0	0	2	29
ALD3	YMR169C	YMR169C	protein_coding	0	7	8	56	0	0	0	0	34	0	0	0	8	0	0	0	0	0	0	0	0	7	22
ALD4	YOR374W	YOR374W	protein_coding	0	5	3	54	0	0	0	0	25	0	0	0	3	0	0	0	0	0	0	0	0	5	29
ALD5	YER073W	YER073W	protein_coding	0	3	6	40	0	0	0	0	20	0	0	0	6	0	0	0	0	0	0	0	0	3	20
ALD6	YPL061W	YPL061W	protein_coding	1	5	4	70	0	0	0	0	23	0	0	0	4	0	0	0	0	0	1	0	0	5	47
ALE1	YOR175C	YOR175C	protein_coding	1	3	4	42	0	0	0	0	25	0	0	0	4	0	0	0	1	0	0	1	0	3	17
ALF1	YNL148C	YNL148C	protein_coding	0	2	8	47	0	0	0	0	21	0	0	0	8	0	0	0	0	0	0	0	0	2	26
ALG1	YBR110W	YBR110W	protein_coding	0	5	2	145	0	0	0	0	67	0	0	0	2	0	0	0	0	0	0	0	0	5	78
ALG11	YNL048W	YNL048W	protein_coding	0	5	6	72	0	0	0	0	47	0	0	0	6	0	0	0	0	0	0	0	0	5	25
ALG12	YNR030W	YNR030W	protein_coding	1	2	6	73	0	0	0	0	19	1	0	0	6	0	0	0	0	0	0	0	0	2	54
ALG13	YGL047W	YGL047W	protein_coding	0	1	3	106	0	0	0	0	60	0	0	0	3	0	0	0	0	0	0	0	0	1	46
ALG14	YBR070C	YBR070C	protein_coding	0	3	6	90	0	0	0	0	42	0	0	0	6	0	0	0	0	0	0	0	0	3	48
ALG2	YGL065C	YGL065C	protein_coding	0	0	4	61	0	0	0	0	35	0	0	0	4	0	0	0	0	0	0	0	0	0	26
ALG3	YBL082C	YBL082C	protein_coding	0	4	4	81	0	0	0	0	16	0	0	0	4	0	0	0	0	0	0	0	0	4	65
ALG5	YPL227C	YPL227C	protein_coding	0	7	6	98	0	0	0	0	46	0	0	0	6	0	0	0	0	0	0	0	0	7	52
ALG6	YOR002W	YOR002W	protein_coding	1	4	13	47	0	0	0	0	21	1	0	0	13	0	0	0	0	0	0	0	0	4	26
ALG7	YBR243C	YBR243C	protein_coding	1	0	6	43	0	0	0	0	28	0	0	0	6	0	0	0	0	0	1	0	0	0	15
ALG8	YOR067C	YOR067C	protein_coding	0	8	6	89	0	0	0	0	44	0	0	0	6	0	0	0	0	0	0	0	0	8	45
ALG9	YNL219C	YNL219C	protein_coding	0	1	5	57	0	0	0	0	35	0	0	0	5	0	0	0	0	0	0	0	0	1	22
ALK1	YGL021W	YGL021W	protein_coding	0	12	6	90	0	0	0	0	51	0	0	0	6	0	0	0	0	0	0	0	0	12	39
ALK2	YBL009W	YBL009W	protein_coding	0	12	11	101	0	0	0	0	50	0	0	0	11	0	0	0	0	0	0	0	0	12	51
ALO1	YML086C	YML086C	protein_coding	0	7	3	114	0	0	0	0	52	0	0	0	3	0	0	0	0	0	0	0	0	7	62
ALP1	YNL270C	YNL270C	protein_coding	0	2	9	24	0	0	0	0	7	0	0	0	9	0	0	0	0	0	0	0	0	2	17
ALR1	YOL130W	YOL130W	protein_coding	0	6	7	108	0	0	0	0	52	0	0	0	7	0	0	0	0	0	0	0	0	6	56
ALR2	YFL050C	YFL050C	protein_coding	0	14	24	152	0	0	0	0	79	0	0	0	24	0	0	0	0	0	0	0	0	14	73
ALT1	YLR089C	YLR089C	protein_coding	0	10	4	93	0	0	0	0	42	0	0	0	4	0	0	0	0	0	0	0	0	10	51
ALT2	YDR111C	YDR111C	protein_coding	0	2	2	52	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	0	2	31
ALY1	YKR021W	YKR021W	protein_coding	0	4	8	51	0	0	0	0	22	0	0	0	8	0	0	0	0	0	0	0	0	4	29
ALY2	YJL084C	YJL084C	protein_coding	0	8	11	43	0	0	0	0	12	0	0	0	11	0	0	0	0	0	0	0	0	8	31
AMA1	YGR225W	YGR225W	protein_coding	1	5	10	70	0	0	0	0	44	0	0	3	10	0	0	0	0	0	1	0	0	5	23
AMD1	YML035C	YML035C	protein_coding	0	7	6	44	0	0	0	0	22	0	0	0	6	0	0	0	0	0	0	0	0	7	22
AMD2	YDR242W	YDR242W	protein_coding	0	3	9	54	0	0	0	0	25	0	0	0	9	0	0	0	0	0	0	0	0	3	29
AME1	YBR211C	YBR211C	protein_coding	0	4	4	98	0	0	0	0	50	0	0	0	4	0	0	0	0	0	0	0	0	4	48
AMF1	YOR378W	YOR378W	protein_coding	0	7	4	27	0	0	0	0	15	0	0	0	4	0	0	0	0	0	0	0	0	7	12
AML1	YGR001C	YGR001C	protein_coding	0	1	2	90	0	0	0	0	45	0	0	5	2	0	0	0	0	0	0	0	0	1	40
AMN1	YBR158W	YBR158W	protein_coding	0	2	3	100	0	0	0	0	56	0	0	0	3	0	0	0	0	0	0	0	0	2	44
AMS1	YGL156W	YGL156W	protein_coding	0	16	10	114	0	0	0	0	62	0	0	0	10	0	0	0	0	0	0	0	0	16	52
ANB1	YJR047C	YJR047C	protein_coding	0	4	2	69	0	0	0	0	44	0	0	0	2	0	0	0	0	0	0	0	0	4	25
ANP1	YEL036C	YEL036C	protein_coding	0	10	12	96	0	0	1	0	59	0	0	0	11	0	0	0	0	0	0	0	0	10	37
ANR2	YKL047W	YKL047W	protein_coding	0	0	4	73	0	0	0	0	51	0	0	0	4	0	0	0	0	0	0	0	0	0	22
ANS1	YHR126C	YHR126C	protein_coding	0	1	0	37	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	26
ANT1	YPR128C	YPR128C	protein_coding	0	1	4	45	0	0	0	0	25	0	0	0	4	0	0	0	0	0	0	0	0	1	20
AOS1	YPR180W	YPR180W	protein_coding	2	3	5	58	0	0	0	0	31	1	0	0	5	0	0	0	0	0	1	0	0	3	27
APA1	YCL050C	YCL050C	protein_coding	0	2	2	44	0	0	0	0	29	0	0	0	2	0	0	0	0	0	0	0	0	2	15
APA2	YDR530C	YDR530C	protein_coding	0	6	4	125	0	0	0	0	70	0	0	0	4	0	0	0	0	0	0	0	0	6	55
APC1	YNL172W	YNL172W	protein_coding	0	8	16	46	0	0	1	0	14	0	0	0	15	0	0	0	0	0	0	0	0	8	32
APC11	YDL008W	YDL008W	protein_coding	1	1	1	102	0	0	0	0	58	0	0	0	1	0	0	0	0	0	1	0	0	1	44
APC2	YLR127C	YLR127C	protein_coding	0	1	12	51	0	0	0	0	25	0	0	0	12	0	0	0	0	0	0	0	0	1	26
APC4	YDR118W	YDR118W	protein_coding	0	2	5	52	0	0	0	0	36	0	0	0	5	0	0	0	0	0	0	0	0	2	16
APC5	YOR249C	YOR249C	protein_coding	0	1	5	62	0	0	0	0	34	0	0	0	5	0	0	0	0	0	0	0	0	1	28
APC9	YLR102C	YLR102C	protein_coding	0	0	2	60	0	0	0	0	36	0	0	0	2	0	0	0	0	0	0	0	0	0	24
APD1	YBR151W	YBR151W	protein_coding	0	4	1	113	0	0	0	0	54	0	0	0	1	0	0	0	0	0	0	0	0	4	59
APE1	YKL103C	YKL103C	protein_coding	0	4	12	103	0	0	0	0	50	0	0	0	12	0	0	0	0	0	0	0	0	4	53
APE2	YKL157W	YKL157W	protein_coding	2	3	6	57	0	0	0	0	21	0	0	1	6	0	0	0	0	0	0	2	0	3	35
APE3	YBR286W	YBR286W	protein_coding	0	3	6	68	0	0	0	0	31	0	0	0	6	0	0	0	0	0	0	0	0	3	37
APE4	YHR113W	YHR113W	protein_coding	0	6	2	58	0	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	0	6	26
API2	YDR525W	YDR525W	protein_coding	0	0	2	117	0	0	0	0	68	0	0	0	2	0	0	0	0	0	0	0	0	0	49
APJ1	YNL077W	YNL077W	protein_coding	0	0	9	49	0	0	0	0	27	0	0	0	9	0	0	0	0	0	0	0	0	0	22
APL1	YJR005W	YJR005W	protein_coding	0	2	3	81	0	0	0	0	57	0	0	0	3	0	0	0	0	0	0	0	0	2	24
APL2	YKL135C	YKL135C	protein_coding	0	8	9	68	0	0	0	0	44	0	0	0	9	0	0	0	0	0	0	0	0	8	24
