38
Bin1	Bin2	Start_Chr17	End_Chr17	Enrichment
78 	193 	15780000 	16930000 	5.610191345214844
75 	194 	15750000 	16940000 	5.313117980957031
43 	46 	15430000 	15460000 	5.293068885803223
71 	82 	15710000 	15820000 	5.230712413787842
75 	222 	15750000 	17220000 	5.106497287750244
57 	78 	15570000 	15780000 	4.844972610473633
72 	80 	15720000 	15800000 	4.824498176574707
6 	38 	15060000 	15380000 	4.770666122436523
6 	46 	15060000 	15460000 	4.725958347320557
51 	56 	15510000 	15560000 	4.555340766906738
46 	56 	15460000 	15560000 	4.554892539978027
56 	72 	15560000 	15720000 	4.299135208129883
6 	45 	15060000 	15450000 	4.287682056427002
36 	38 	15360000 	15380000 	4.259858131408691
6 	47 	15060000 	15470000 	4.254522800445557
6 	36 	15060000 	15360000 	4.234257221221924
45 	56 	15450000 	15560000 	4.132481575012207
18 	43 	15180000 	15430000 	4.103776931762695
57 	62 	15570000 	15620000 	4.025035858154297
58 	62 	15580000 	15620000 	4.011508941650391
77 	122 	15770000 	16220000 	4.007938861846924
77 	80 	15770000 	15800000 	3.937211513519287
41 	53 	15410000 	15530000 	3.8946075439453125
192 	238 	16920000 	17380000 	3.8785600662231445
56 	78 	15560000 	15780000 	3.8726110458374023
7 	45 	15070000 	15450000 	3.869208812713623
62 	192 	15620000 	16920000 	3.84912109375
237 	240 	17370000 	17400000 	3.7465932369232178
62 	82 	15620000 	15820000 	3.739027976989746
43 	45 	15430000 	15450000 	3.735044479370117
7 	37 	15070000 	15370000 	3.6331589221954346
62 	80 	15620000 	15800000 	3.610383987426758
6 	41 	15060000 	15410000 	3.5051395893096924
46 	53 	15460000 	15530000 	3.5007166862487793
47 	222 	15470000 	17220000 	3.4940052032470703
19 	41 	15190000 	15410000 	3.4415762424468994
6 	37 	15060000 	15370000 	3.4160871505737305
51 	75 	15510000 	15750000 	3.380495309829712
38 	45 	15380000 	15450000 	3.3181588649749756
80 	82 	15800000 	15820000 	3.282820701599121
18 	38 	15180000 	15380000 	3.2811615467071533
37 	41 	15370000 	15410000 	3.246515989303589
56 	62 	15560000 	15620000 	3.217231512069702
78 	82 	15780000 	15820000 	3.214787483215332
45 	47 	15450000 	15470000 	3.1928350925445557
58 	190 	15580000 	16900000 	3.14125919342041
83 	193 	15830000 	16930000 	3.123600482940674
6 	56 	15060000 	15560000 	3.0469000339508057
43 	47 	15430000 	15470000 	3.0323121547698975
7 	38 	15070000 	15380000 	2.980422258377075
6 	43 	15060000 	15430000 	2.9505724906921387
57 	77 	15570000 	15770000 	2.9262664318084717
77 	82 	15770000 	15820000 	2.9125006198883057
18 	37 	15180000 	15370000 	2.9089183807373047
19 	43 	15190000 	15430000 	2.8970656394958496
19 	38 	15190000 	15380000 	2.8825559616088867
38 	43 	15380000 	15430000 	2.8770763874053955
19 	37 	15190000 	15370000 	2.8749754428863525
72 	82 	15720000 	15820000 	2.8550875186920166
78 	83 	15780000 	15830000 	2.84340763092041
163 	193 	16630000 	16930000 	2.8133962154388428
36 	46 	15360000 	15460000 	2.813291072845459
47 	58 	15470000 	15580000 	2.788837432861328
56 	58 	15560000 	15580000 	2.746206521987915
75 	82 	15750000 	15820000 	2.7135984897613525
45 	72 	15450000 	15720000 	2.6888277530670166
58 	83 	15580000 	15830000 	2.6884820461273193
58 	72 	15580000 	15720000 	2.680257558822632
45 	53 	15450000 	15530000 	2.6467230319976807
51 	53 	15510000 	15530000 	2.625795841217041
82 	163 	15820000 	16630000 	2.5794403553009033
51 	80 	15510000 	15800000 	2.55600643157959
7 	36 	15070000 	15360000 	2.547332286834717
47 	80 	15470000 	15800000 	2.5099716186523438
37 	47 	15370000 	15470000 	2.5076589584350586
7 	18 	15070000 	15180000 	2.479858875274658
190 	239 	16900000 	17390000 	2.477043390274048
38 	41 	15380000 	15410000 	2.4413070678710938
57 	163 	15570000 	16630000 	2.429654598236084
62 	75 	15620000 	15750000 	2.387491226196289
7 	41 	15070000 	15410000 	2.372281312942505
46 	51 	15460000 	15510000 	2.3552188873291016
193 	238 	16930000 	17380000 	2.3481996059417725
18 	51 	15180000 	15510000 	2.3477509021759033
19 	45 	15190000 	15450000 	2.33884859085083
18 	47 	15180000 	15470000 	2.305466890335083
163 	190 	16630000 	16900000 	2.221404790878296
58 	77 	15580000 	15770000 	2.187324047088623
146 	163 	16460000 	16630000 	2.1594529151916504
38 	56 	15380000 	15560000 	2.122145891189575
82 	193 	15820000 	16930000 	2.118945837020874
6 	18 	15060000 	15180000 	2.0937654972076416
36 	47 	15360000 	15470000 	2.0721704959869385
6 	19 	15060000 	15190000 	2.0693345069885254
53 	77 	15530000 	15770000 	2.0223567485809326
46 	163 	15460000 	16630000 	2.0081562995910645
56 	163 	15560000 	16630000 	1.9420353174209595
83 	163 	15830000 	16630000 	1.9012142419815063
51 	57 	15510000 	15570000 	1.899708867073059
72 	78 	15720000 	15780000 	1.8898060321807861
53 	75 	15530000 	15750000 	1.8842447996139526
53 	62 	15530000 	15620000 	1.8544811010360718
80 	238 	15800000 	17380000 	1.8189984560012817
57 	83 	15570000 	15830000 	1.7983651161193848
57 	72 	15570000 	15720000 	1.7928636074066162
80 	237 	15800000 	17370000 	1.7789241075515747
37 	45 	15370000 	15450000 	1.7650307416915894
43 	51 	15430000 	15510000 	1.7645297050476074
56 	77 	15560000 	15770000 	1.7542344331741333
47 	51 	15470000 	15510000 	1.7347707748413086
19 	53 	15190000 	15530000 	1.7244489192962646
72 	77 	15720000 	15770000 	1.7121074199676514
43 	56 	15430000 	15560000 	1.706262469291687
36 	45 	15360000 	15450000 	1.7015949487686157
53 	56 	15530000 	15560000 	1.6927255392074585
82 	190 	15820000 	16900000 	1.6730798482894897
51 	62 	15510000 	15620000 	1.6635483503341675
56 	75 	15560000 	15750000 	1.6344335079193115
38 	47 	15380000 	15470000 	1.6163169145584106
7 	51 	15070000 	15510000 	1.5994232892990112
36 	53 	15360000 	15530000 	1.5682467222213745
83 	237 	15830000 	17370000 	1.5518877506256104
19 	56 	15190000 	15560000 	1.4958230257034302
53 	163 	15530000 	16630000 	1.4925742149353027
53 	78 	15530000 	15780000 	1.4881706237792969
18 	72 	15180000 	15720000 	1.477137565612793
47 	78 	15470000 	15780000 	1.4747729301452637
56 	82 	15560000 	15820000 	1.4626691341400146
37 	46 	15370000 	15460000 	1.4590858221054077
62 	78 	15620000 	15780000 	1.4142248630523682
36 	51 	15360000 	15510000 	1.406784176826477
19 	36 	15190000 	15360000 	1.3858238458633423
57 	75 	15570000 	15750000 	1.363211989402771
58 	239 	15580000 	17390000 	1.3500769138336182
62 	77 	15620000 	15770000 	1.2812451124191284
47 	75 	15470000 	15750000 	1.2448540925979614
38 	122 	15380000 	16220000 	1.2121286392211914
58 	163 	15580000 	16630000 	1.2107447385787964
58 	78 	15580000 	15780000 	1.2071725130081177
36 	163 	15360000 	16630000 	1.199481725692749
83 	146 	15830000 	16460000 	1.1987767219543457
7 	43 	15070000 	15430000 	1.1981699466705322
7 	53 	15070000 	15530000 	1.1886639595031738
75 	237 	15750000 	17370000 	1.176375150680542
18 	53 	15180000 	15530000 	1.1632055044174194
38 	62 	15380000 	15620000 	1.1624681949615479
163 	192 	16630000 	16920000 	1.1617332696914673
78 	192 	15780000 	16920000 	1.1583056449890137
163 	240 	16630000 	17400000 	1.1474858522415161
19 	47 	15190000 	15470000 	1.1392827033996582
47 	56 	15470000 	15560000 	1.1183241605758667
51 	83 	15510000 	15830000 	1.1148972511291504
38 	46 	15380000 	15460000 	1.0971996784210205
37 	43 	15370000 	15430000 	1.0931469202041626
47 	72 	15470000 	15720000 	1.091468095779419
7 	46 	15070000 	15460000 	1.0661773681640625
43 	58 	15430000 	15580000 	1.0637542009353638
7 	19 	15070000 	15190000 	1.0503953695297241
77 	192 	15770000 	16920000 	1.0493899583816528
